"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown"
"P. cinnamomi","Hakea sericea",8,NA,NA,8
"P. cinnamomi","Gonocarpus tetragynus",3,NA,NA,3
"P. cinnamomi","Gonocarpus teucrioides",3,NA,NA,3
"P. cinnamomi","Veronica topiaria",4,NA,NA,4
"P. cinnamomi","Hedera helix",2,NA,NA,2
"P. pseudosyringae","Hedera helix",3,NA,NA,3
"P. ramorum","Photinia arbutifolia",4,NA,NA,4
"P. cinnamomi","Hibbertia acerosa",2,NA,NA,2
"P. cinnamomi","Hibbertia cunninghamii",2,NA,NA,2
"P. cinnamomi","Hibbertia empetrifolia",4,NA,NA,4
"P. cinnamomi","Hibbertia riparia",3,NA,NA,3
"P. cinnamomi","Hibbertia sericea",3,NA,NA,3
"P. cinnamomi","Hibbertia stricta",2,NA,NA,2
"P. cinnamomi","Hibbertia subvaginata",3,NA,NA,3
"P. cinnamomi","Hibbertia vaginata",2,NA,NA,2
"P. cinnamomi","Hovea elliptica",2,NA,NA,2
"P. cinnamomi","Hovea heterophylla",2,NA,NA,2
"P. cinnamomi","Hovea pungens",2,NA,NA,2
"P. cinnamomi","Hudsonia tomentosa",2,NA,NA,2
"P. cinnamomi","Hydrocotyle callicarpa",2,NA,NA,2
"P. cinnamomi","Hypericum androsaemum",5,NA,NA,5
"P. cinnamomi","Hypericum formosum",3,NA,NA,3
"P. cinnamomi","Hypocalymma angustifolium",5,NA,NA,5
"P. cinnamomi","Hypocalymma cordifolium",2,NA,NA,2
"P. cinnamomi","Hypocalymma robustum",2,NA,NA,2
"P. cinnamomi","Hypochaeris glabra",2,NA,NA,2
"P. cinnamomi","Idesia polycarpa",2,NA,NA,2
"P. pseudosyringae","Ilex aquifolium",1,NA,NA,1
"P. cinnamomi","Ilex aquifolium",2,NA,NA,2
"P. cinnamomi","Ilex cassine",4,NA,NA,4
"P. cinnamomi","Ilex crenata",6,NA,NA,6
"P. cinnamomi","Ilex glabra",3,NA,NA,3
"P. cinnamomi","Ilex × meserveae",2,NA,NA,2
"P. cinnamomi","Isopogon attenuatus",2,NA,NA,2
"P. cinnamomi","Isopogon ceratophyllus",6,NA,NA,6
"P. cinnamomi","Isopogon cuneatus",2,NA,NA,2
"P. cinnamomi","Isopogon dubius",2,NA,NA,2
"P. cinnamomi","Isopogon formosus",2,NA,NA,2
"P. cinnamomi","Isopogon latifolius",2,NA,NA,2
"P. cinnamomi","Itea virginica",1,NA,NA,1
"P. cinnamomi","Juglans nigra",6,NA,NA,6
"P. cinnamomi","Juglans regia",46,NA,1,45
"P. cinnamomi","Juniperus chinensis",3,NA,NA,3
"P. cinnamomi","Juniperus communis",5,NA,NA,5
"P. austrocedri","Juniperus communis",5,NA,NA,5
"P. cinnamomi","Juniperus rigida",2,NA,NA,2
"P. austrocedri","Juniperus horizontalis",1,NA,NA,1
"P. cinnamomi","Juniperus oxycedrus",3,NA,1,2
"P. cinnamomi","Juniperus sabina",1,NA,NA,1
"P. cinnamomi","Juniperus squamata",4,NA,NA,4
"P. cinnamomi","Juniperus virginiana",3,NA,NA,3
"P. cinnamomi","Kalmia latifolia",7,NA,NA,7
"P. cinnamomi","Knightia excelsa",5,NA,NA,5
"P. cinnamomi","Kunzea ericifolia",2,NA,NA,2
"P. cinnamomi","Kunzea pauciflora",2,NA,NA,2
"P. cinnamomi","Kunzea pomifera",2,NA,NA,2
"P. cinnamomi","Kunzea recurva",2,NA,NA,2
"P. pseudosyringae","Laburnum anagyroides",1,NA,NA,1
"P. cinnamomi","Larix decidua",9,NA,NA,9
"P. ramorum","Larix kaempferi",15,NA,11,4
"P. cinnamomi","Larix kaempferi",11,NA,NA,11
"P. cinnamomi","Lasiopetalum floribundum",2,NA,NA,2
"P. cinnamomi","Laurus nobilis",2,NA,NA,2
"P. cinnamomi","Lavandula angustifolia",2,NA,NA,2
"P. cinnamomi","Rhododendron columbianum",1,NA,NA,1
"P. cinnamomi","Rhododendron tomentosum",3,NA,NA,3
"P. cinnamomi","Lepidosperma laterale",3,NA,NA,3
"P. cinnamomi","Leptospermum juniperinum",2,NA,NA,2
"P. cinnamomi","Leptospermum scoparium",8,NA,NA,8
"P. cinnamomi","Leucadendron salignum",12,NA,NA,12
"P. cinnamomi","Leucadendron album",4,NA,NA,4
"P. cinnamomi","Leucadendron argenteum",20,NA,NA,20
"P. cinnamomi","Leucadendron comosum",6,NA,NA,6
"P. cinnamomi","Leucadendron daphnoides",6,NA,NA,6
"P. cinnamomi","Leucadendron laureolum",12,NA,NA,12
"P. cinnamomi","Leucadendron discolor",12,NA,NA,12
"P. cinnamomi","Leucadendron galpinii",6,NA,NA,6
"P. cinnamomi","Leucadendron gandogeri",9,NA,NA,9
"P. cinnamomi","Leucadendron loranthifolium",4,NA,NA,4
"P. cinnamomi","Leucadendron meridianum",6,NA,NA,6
"P. cinnamomi","Leucadendron microcephalum",6,NA,NA,6
"P. cinnamomi","Leucadendron nervosum",2,NA,NA,2
"P. cinnamomi","Leucadendron nobile",6,NA,NA,6
"P. cinnamomi","Leucadendron orientale",6,NA,NA,6
"P. cinnamomi","Leucadendron pubescens",6,NA,NA,6
"P. cinnamomi","Protea reflexa",1,NA,NA,1
"P. cinnamomi","Leucadendron rubrum",12,NA,NA,12
"P. cinnamomi","Leucadendron salicifolium",10,NA,NA,10
"P. cinnamomi","Leucadendron spissifolium",6,NA,NA,6
"P. cinnamomi","Leucadendron tinctum",8,NA,NA,8
"P. cinnamomi","Leucadendron tradouwense",6,NA,NA,6
"P. cinnamomi","Leucadendron uliginosum",6,NA,NA,6
"P. cinnamomi","Leucadendron xanthoconus",5,NA,NA,5
"P. cinnamomi","Leucophyllum frutescens",2,NA,NA,2
"P. cinnamomi","Leucopogon australis",3,NA,NA,3
"P. cinnamomi","Leucopogon collinus",3,NA,NA,3
"P. cinnamomi","Styphelia ericoides",3,NA,NA,3
"P. cinnamomi","Leucopogon glabellus",2,NA,NA,2
"P. cinnamomi","Leucopogon lasiostachys",2,NA,NA,2
"P. cinnamomi","Leucopogon pulchellus",2,NA,NA,2
"P. cinnamomi","Leucopogon verticillatus",2,NA,NA,2
"P. cinnamomi","Leucopogon virgatus",5,NA,NA,5
"P. cinnamomi","Leucospermum cuneiforme",10,NA,NA,10
"P. cinnamomi","Leucospermum bolusii",1,NA,NA,1
"P. cinnamomi","Leucospermum catherinae",8,NA,NA,8
"P. cinnamomi","Leucospermum conocarpodendron",7,NA,NA,7
"P. cinnamomi","Leucospermum cordifolium",23,NA,NA,23
"P. cinnamomi","Leucospermum erubescens",6,NA,NA,6
"P. cinnamomi","Leucospermum formosum",6,NA,NA,6
